CustomerID,last_order_date,recency,frequency,monetary,r_rank,f_rank,m_rank
CUST0293,10/14/2025,156,12,190.97,153,1,1
CUST0012,12/31/2025,78,9,187.09,3,2,2
CUST0143,11/11/2025,128,6,170.41,113,16,3
CUST0039,12/8/2025,101,8,167.44,66,4,4
CUST0104,12/22/2025,87,6,164.74,33,33,5
CUST0216,11/17/2025,122,5,158.8,105,62,6
CUST0117,11/24/2025,115,7,150.87,94,8,7
CUST0285,8/6/2025,225,8,143.59,213,5,8
CUST0073,12/30/2025,79,5,142.38,6,67,9
CUST0267,12/8/2025,101,6,140.89,65,20,10
CUST0009,11/9/2025,130,6,139.02,116,19,11
CUST0157,12/11/2025,98,7,132.83,61,13,12
CUST0014,12/8/2025,101,6,132.01,64,17,13
CUST0131,10/19/2025,151,5,131.69,148,77,14
CUST0029,12/21/2025,88,6,130.92,34,34,15
CUST0011,12/2/2025,107,6,128.11,84,31,16
CUST0227,12/23/2025,86,6,126.89,25,25,17
CUST0264,12/23/2025,86,6,126.84,23,23,18
CUST0291,12/18/2025,91,6,125.53,43,36,19
CUST0251,11/7/2025,132,7,123.67,117,10,20
CUST0084,12/14/2025,95,8,123.51,55,6,21
CUST0215,12/27/2025,82,6,123.08,15,38,22
CUST0004,9/10/2025,190,4,123.07,189,125,23
CUST0177,12/31/2025,78,5,122.91,4,73,24
CUST0098,10/30/2025,140,6,122.55,130,35,25
CUST0262,12/17/2025,92,5,121.51,45,45,26
CUST0289,12/23/2025,86,7,121.17,24,9,27
CUST0271,11/24/2025,115,5,117.98,96,69,28
CUST0224,12/6/2025,103,6,116.16,73,30,29
CUST0178,12/21/2025,88,5,114.12,35,44,30
CUST0092,12/31/2025,78,5,113.27,2,74,31
CUST0025,12/15/2025,94,6,109.94,54,18,32
CUST0102,12/25/2025,84,5,108.92,18,54,33
CUST0111,11/27/2025,112,5,108.18,91,71,34
CUST0176,9/20/2025,180,4,107.85,181,84,35
CUST0042,12/24/2025,85,4,106.78,19,90,36
CUST0008,11/4/2025,135,4,106.62,121,121,37
CUST0119,11/11/2025,128,5,106.08,114,53,38
CUST0007,12/4/2025,105,5,104.63,78,40,39
CUST0226,12/22/2025,87,6,103.71,27,27,40
CUST0161,12/12/2025,97,8,103.61,60,3,41
CUST0040,12/20/2025,89,6,101.46,40,15,42
CUST0059,10/7/2025,163,7,99.24,160,7,43
CUST0166,11/18/2025,121,3,98.6,103,147,44
CUST0147,12/16/2025,93,5,98.48,49,49,45
CUST0296,11/16/2025,123,5,97.41,106,59,46
CUST0242,10/20/2025,150,4,97.14,147,103,47
CUST0063,12/17/2025,92,6,96.28,46,32,48
CUST0026,11/24/2025,115,4,95.76,95,95,49
CUST0096,9/6/2025,194,3,95.01,191,186,50
CUST0237,10/29/2025,141,5,92.73,132,39,51
CUST0153,12/8/2025,101,6,92.68,67,24,52
CUST0152,8/9/2025,222,6,92.44,210,21,53
CUST0106,12/17/2025,92,3,91.44,47,126,54
CUST0077,12/16/2025,93,4,91.19,51,117,55
